,title,ingredients,directions,link,source,NER
237092,"""Easy"" Barbecue Sauce","['1/2 c. chopped onion', '8 Tbsp. sugar', '1/2 c. catsup', '6 Tbsp. vinegar', '2 tsp. Worcestershire sauce', '1/4 tsp. pepper']","['Simmer until onion is done.', 'Good for grilling, baking, etc.']",www.cookbooks.com/Recipe-Details.aspx?id=882931,Gathered,"['onion', 'sugar', 'catsup', 'vinegar', 'Worcestershire sauce', 'pepper']"
1493677,Warm Orange Chicken Spinach Salad,"['1/2 pound boneless skinless chicken breasts, cut into thin strips', '3 teaspoons olive oil, divided', '1/4 teaspoon cornstarch', '1/4 teaspoon salt', '1/8 teaspoon pepper', '2 tablespoons white wine vinegar', '2 tablespoons orange juice', '3 cups torn fresh spinach', '1 medium navel orange, peeled and sectioned', '2 thin slices red onion, halved', '2 tablespoons chopped walnuts, toasted']","['In a small skillet, saute chicken in 1 teaspoon oil for 5 minutes or until no longer pink.', 'In a small bowl, combine the cornstarch, salt, pepper, vinegar, orange juice and remaining oil until smooth; stir into skillet. Bring to a boil; cook and stir for 1 minute or until thickened.', 'In a large serving bowl, combine the spinach, orange, onion and walnuts; add chicken mixture and toss. Serve immediately.']",www.tasteofhome.com/recipes/warm-orange-chicken-spinach-salad/,Gathered,"['chicken breasts', 'olive oil', 'cornstarch', 'salt', 'pepper', 'white wine vinegar', 'orange juice', 'fresh spinach', 'orange', 'thin slices red onion', 'walnuts']"
289937,No Bake Cookies,"['3 Tbsp. cocoa', '2 c. sugar', '1/2 c. milk', '1 stick margarine, softened', '2 3/4 c. quick oats', '1/2 c. peanut butter', '1 tsp. vanilla']","['Mix cocoa, sugar, milk and margarine in a large saucepan. Bring to a boil; boil for 90 seconds. Remove from heat. Add uncooked oats, peanut butter and vanilla. Mix well. Drop by spoonfuls onto wax paper. Let cool.']",www.cookbooks.com/Recipe-Details.aspx?id=15440,Gathered,"['cocoa', 'sugar', 'milk', 'margarine', 'oats', 'peanut butter', 'vanilla']"
1841387,Crisco Pound Cake,"['1 cup (225 ml) butter', '1/2 cup (125 ml) crisco', '5 large eggs', '3 cups (700 ml) sugar', '1 tsp (5 ml) baking powder', '1 cup (225 ml) milk', '2 tsp (10 ml) vanilla', '3 cups (700 ml) flour']","['Cream shortning and gradually add sugar and eggs one at a time.', 'Combine baking powder, flour and milk (alternate ending with flour).', 'Add vanila.', 'Bake at 350 degrees (175 C.) F. for one hour.']",online-cookbook.com/goto/cook/rpage/000572,Recipes1M,"['butter', 'crisco', 'eggs', 'sugar', 'baking powder', 'milk', 'vanilla', 'flour']"
915081,Quiche,"['1 1/2 cups shredded Swiss cheese', '4 teaspoons all-purpose flour', '1/2 cup cooked ham, diced', '3 eggs', '1 cup milk', '1/4 teaspoon salt', '1/4 teaspoon ground dry mustard', '1 (9 inch) unbaked pie crust', '2 tablespoons chopped fresh parsley, for garnish', '2 tablespoons chopped pimento peppers, garnish']","['In medium bowl, toss 4 teaspoons flour with the grated cheese. Sprinkle mixture into the pie shell. On top of cheese, sprinkle 1/2 cup of diced ham.', 'In medium bowl, combine eggs, milk or cream, and then add salt and mustard powder. Beat until smooth and pour over cheese and ham.', 'Put piece of plastic wrap large enough to overlap sides over top of quiche, then a piece of foil, and seal well around the edges. (plastic keeps the foil from sticking to the food). Place prepared quiche in freezer.', 'When ready to prepare, preheat oven to 400 degrees F (200 degrees C.) Remove foil and plastic wrap. Put foil around edge of crust to protect it.', 'Bake in the preheated oven for 60 minutes, or until filling is set and crust is golden brown. Garnish with parsley and pimiento if desired']",www.allrecipes.com/recipe/23772/quiche/,Gathered,"['Swiss cheese', 'all-purpose', 'eggs', 'milk', 'salt', 'ground dry mustard', 'crust', 'fresh parsley', 'pimento peppers']"
1536333,Vanilla Cream Puffs,"['1 cup water', '1/2 cup butter', '1/4 teaspoon salt', '1 cup all-purpose flour', '4 eggs', '1-1/2 cups cold milk', '1 package (5.1 ounces) instant vanilla pudding mix', '1/2 to 1 teaspoon almond extract', '2 cups heavy whipping cream, whipped', '6 tablespoons semisweet chocolate chips', '1-1/2 teaspoons shortening', '3/4 teaspoon corn syrup', '1/4 teaspoon ground cinnamon']","['In a large saucepan, bring water, butter and salt to a boil. Add flour all at once and stir until a smooth ball forms. Remove from the heat; let stand for 5 minutes.', 'Add eggs, one at a time, beating well after each addition. Continue beating until mixture is smooth and shiny.', 'Drop by 1/4 cupfuls 3 in. apart onto a greased', '. Bake at 400° for 30-35 minutes or until golden brown. Remove to a wire rack. Immediately split puffs open; remove tops and set aside. Discard soft dough inside. Cool puffs.', 'In a bowl, beat the milk, pudding mix and extract on low speed for 2 minutes. Let stand for 5 minutes. Fold in whipped cream. Fill cream puffs; replace tops.', 'In a heavy saucepan, combine glaze ingredients. Cook and stir over low heat until chocolate is melted and mixture is smooth. Drizzle over cream puffs. Chill for at least 1 hour before serving. Refrigerate leftovers.']",www.tasteofhome.com/recipes/vanilla-cream-puffs/,Gathered,"['water', 'butter', 'salt', 'flour', 'eggs', 'cold milk', 'vanilla pudding', 'almond extract', 'heavy whipping cream', 'chocolate chips', 'shortening', 'corn syrup', 'ground cinnamon']"
756536,Gingerbread Men,"['2 3/4 c. flour', '3 tsp. baking powder', '1/2 tsp. salt', '1 tsp. ginger', '1 tsp. cinnamon', '1/4 tsp. cloves', '2/3 c. dark molasses', '1/3 c. brown sugar', '1 egg, beaten', '1/2 c. shortening']","['Sift together dry ingredients.', 'Mix molasses with brown sugar, egg and shortening.', 'Add to dry ingredients, stirring to make a soft dough.', 'Chill for 1 hour.', 'Roll out dough to 1/4-inch thickness and cut with cookie cutter.', 'Place on greased cookie sheet and bake in 350° oven for 10 minutes.', 'Makes 18 (4-inch) men.']",www.cookbooks.com/Recipe-Details.aspx?id=672599,Gathered,"['flour', 'baking powder', 'salt', 'ginger', 'cinnamon', 'cloves', 'dark molasses', 'brown sugar', 'egg', 'shortening']"
1112429,Thai Basil Bliss,"['5 Thai basil (whole leaves)', '4 inch-wide cubes pineapple', '1 tablespoon simple syrup', '2 ounces white tequila', '1 1/2 tablespoons lime juice', 'club soda or seltzer water']","['In a cocktail shaker, crush 4 basil leaves and the pineapple to a pulp with a muddler or wooden spoon. Fill shaker about halfway with ice and add simple syrup, tequila and lime juice. Shake well and strain into a cocktail glass. Top with a splash of soda and float last basil leaf on surface.']",www.food.com/recipe/thai-basil-bliss-378683,Gathered,"['basil', 'pineapple', 'simple syrup', 'white tequila', 'lime juice', 'club soda']"
622386,Uncooked Fruit Cake,"['1 lb. raisins', '1 lb. dates', '1 lb. figs', '1 lb. nuts', 'grated rind of 1/2 orange', 'grated rind of 1/2 lemon', '1/2 c. brown sugar', 'dash of salt', '1 tsp. nutmeg', '2 tsp. cinnamon', '1/2 tsp. ginger', '1/4 c. orange juice', '3 Tbsp. brandy or rum']","['Cut all fruits fine.', 'Combine with nuts and mix thoroughly. Mix sugar and spices; toss with fruits until well coated.', 'Add orange juice and brandy; press firmly into buttered loaf pan. Cover with waxed paper.', 'Keep in cold place at least 10 days before serving.', 'Yield:', '2 (8-inch) loaves.']",www.cookbooks.com/Recipe-Details.aspx?id=90975,Gathered,"['raisins', 'dates', 'figs', 'nuts', 'orange', 'lemon', 'brown sugar', 'salt', 'nutmeg', 'cinnamon', 'ginger', 'orange juice', 'brandy']"
1917170,Applesauce Spice Bars,"['1 cup sugar', '1/3 cup Land O Lakes Butter, softened', '1 Land O Lakes Egg', '1 1/2 cups all-purpose flour', '1 1/2 cups applesauce', '1 teaspoon ground allspice', '1 teaspoon ground cinnamon', '3/4 teaspoon baking soda', '1/4 teaspoon salt', '1/2 cup raisins', '3 cups powdered sugar', '1/3 cup sour cream', '3 tablespoons Land O Lakes Butter, softened', '1 tablespoon vanilla', '1/2 cup chopped pecans']","['Heat oven to 350F.', 'Spray 13x9-inch baking pan with no-stick cooking spray.', 'Set aside.', 'Combine sugar, 1/3 cup butter and egg in bowl.', 'Beat at medium speed, scraping bowl often, until creamy.', 'Add all remaining ingredients except raisins.', 'Beat at low speed, scraping bowl often, until well mixed.', 'Stir in raisins.', 'Spoon batter into prepared pan.', 'Bake 25-35 minutes or until toothpick inserted in center comes out clean.', 'Cool completely.', 'Combine all frosting ingredients except pecans in bowl.', 'Beat at medium speed, scraping bowl often, until smooth.', 'Frost cooled bars; sprinkle with pecans.', 'Cut into bars.']",www.landolakes.com/recipe/2693/applesauce-spice-bars,Recipes1M,"['sugar', 'Butter', 'Egg', 'flour', 'applesauce', 'ground allspice', 'ground cinnamon', 'baking soda', 'salt', 'raisins', 'powdered sugar', 'sour cream', 'Butter', 'vanilla', 'pecans']"
191549,Sausage Balls,"['2 c. Bisquick', '1 lb. hot sausage (Jimmy Dean)', '5 oz. grated coon cheese']","['Let sausage get to room temperature.', 'With hands, mix sausage, Bisquick and work in grated cheese.', 'Make into little balls (one heaping tablespoonful).', 'Bake at 350° for 25 minutes.']",www.cookbooks.com/Recipe-Details.aspx?id=1009135,Gathered,"['Bisquick', 'hot sausage', 'coon cheese']"
1440134,Grilled Peppers And Mushrooms,"['1/4 cup white balsamic vinegar*', '2 tablespoons coarse-grained Dijon mustard', '1 tablespoon honey', '1/2 teaspoon salt', '1/4 teaspoon coarsely ground pepper', '1/2 cup olive oil', '4 large, assorted bell peppers, cut into 2-inch-wide strips', '1 large red onion, thickly sliced', '1 (8-oz.) package baby portobello mushrooms']","['Whisk together first 5 ingredients. Gradually add oil in a slow, steady stream, whisking constantly until blended. Reserve 2 Tbsp. mixture; cover and chill. Stir bell peppers and next 2 ingredients into remaining vinegar mixture. Cover and chill 30 minutes.', 'Preheat grill to 350° to 400° (medium-high) heat. Remove vegetables from vinegar mixture; discard mixture. Grill vegetables at the same time, placing peppers skin side down on cooking grate. Grill vegetables, covered with grill lid, 6 minutes or until peppers look blistered and grill marks appear. Turn all vegetables, and grill about 2 more minutes or until crisp-tender.', 'Arrange vegetables in a single layer on a serving platter. Drizzle with reserved 2 Tbsp. vinegar mixture just before serving. Season with salt and pepper to taste.', '*White wine vinegar may be substituted.', 'Prep the vinaigrette 3 days early, and wash and cut peppers 1 day ahead.']",www.myrecipes.com/recipe/grilled-peppers-mushrooms,Gathered,"['white balsamic vinegar', 'coarse-grained Dijon', 'honey', 'salt', 'ground pepper', 'olive oil', 'bell peppers', 'red onion', 'baby portobello mushrooms']"
1850936,Curried Baby Artichoke Ragout,"['2 Tbs. olive oil', '1 small onion, chopped (1 cup)', '1/2 large red bell pepper, chopped ( 3/4 cup)', '1 Tbs. curry powder', '8 oz. fresh baby artichokes, trimmed and quartered, or 1 8-oz. pkg. frozen artichokes, thawed', '1 15-oz. can chickpeas, rinsed and drained', '3/4 lb. new potatoes, cut into 1 1/2-inch chunks', '2 tsp. Dijon mustard', '1 cup frozen peas', '1/4 cup chopped fresh mint']","['Heat oil in saucepan over medium heat.', 'Add onion and red bell pepper, and saute 5 to 7 minutes, or until soft.', 'Stir in curry powder, and cook 30 seconds, or until color deepens.', 'Add artichokes, increase heat to medium-high, and saute 2 to 3 minutes.', 'Stir in chickpeas, potatoes, and 2 cups water.', 'Season with salt and pepper, reduce heat to medium-low, and cover.', 'Simmer 20 to 25 minutes, or until artichokes and potatoes are tender.', 'Ladle 1/4 cup cooking liquid into small bowl.', 'Whisk mustard into liquid.', 'Return to pot, add peas, and stir to combine.', 'Simmer 3 minutes more, or until peas are bright green and heated through.', 'Sprinkle each serving with mint.']",www.vegetariantimes.com/recipe/curried-baby-artichoke-rago-t/,Recipes1M,"['olive oil', 'onion', 'red bell pepper', 'curry powder', 'fresh baby artichokes', 'chickpeas', 'new potatoes', 'mustard', 'frozen peas', 'fresh mint']"
1519378,Berry Sour Cream Cake,"['1 cup butter, softened', '1-1/4 cups sugar', '2 large eggs', '1 cup sour cream', '1 teaspoon vanilla extract', '2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '2 cups fresh raspberries', '1 cup fresh blueberries', ""2 cups confectioners' sugar"", '1/4 cup butter, melted', '1/2 teaspoon vanilla extract', '2 to 3 tablespoons milk']","['In a bowl, cream butter and sugar. Add the eggs, sour cream and vanilla; mix well. Combine the flour, baking powder and baking soda; gradually add to creamed mixture. Spread into a greased 13x9-in. baking dish. Sprinkle with raspberries and blueberries. Bake at 325° for 40-45 minutes or until a toothpick inserted in the center comes out clean.', ""For glaze, in a bowl, beat confectioners' sugar, butter, vanilla and enough milk to achieve drizzling consistency. Drizzle over warm cake. Cool on a wire rack before cutting.""]",www.tasteofhome.com/recipes/berry-sour-cream-cake/,Gathered,"['butter', 'sugar', 'eggs', 'sour cream', 'vanilla', 'flour', 'baking powder', 'baking soda', 'fresh raspberries', 'fresh blueberries', 'sugar', 'butter', 'vanilla', 'milk']"
886435,Black Magic Cake,"['1 3/4 c. all-purpose flour', '2 c. sugar', '3/4 c. cocoa', '1 1/2 tsp. baking soda', '1 1/2 tsp. baking powder', '1 tsp. salt', '2 eggs', '1 c. milk', '1/2 c. vegetable oil', '2 tsp. vanilla', '1 c. boiling water']","['Combine the dry ingredients in a large mixing bowl.', 'Add the remaining ingredients except the boiling water.', 'Beat at medium speed for 2 minutes.', 'Stir in the boiling water.', 'Batter will be thin.', 'Pour into 2 greased and floured 9-inch or three 8-inch cake pans or into a 9 x 13-inch cake pan.', 'Bake at 350° for 30 to 35 minutes for the layers, 35 to 40 minutes for the 9 x 13-inch cake pan.', 'When cooled, remove from pans and frost with your favorite frosting.']",www.cookbooks.com/Recipe-Details.aspx?id=772127,Gathered,"['flour', 'sugar', 'cocoa', 'baking soda', 'baking powder', 'salt', 'eggs', 'milk', 'vegetable oil', 'vanilla', 'boiling water']"
1561120,Hot Milk Sponge Cake,"['FOR THE CAKE:', '1 cup All-purpose Flour', '1 teaspoon Baking Powder', '2 whole Eggs', '1 cup White Granulated Sugar', '1/2 cups Whole Milk', '2 Tablespoons Butter', '1 teaspoon Vanilla Extract', 'Optional Toppings: Macerated Berries, Whipped Cream, You Name It', '_____', 'FOR THE BERRIES:', '2 pints Fresh Strawberries', '1/4 cups Sugar', '1 Tablespoon Lemon Juice']","['Preheat oven to 350 degrees F. Spray nonstick cooking spray onto a 9X9 baking dish.', 'In a medium bowl, combine flour and baking powder.', ""In a separate bowl (or stand mixer), beat eggs on high speed for about 4 minutes, until thick. If you're using a stand mixer, I would suggest using your whisk attachment for this step. Gradually add sugar and beat at medium speed for 4-5 minutes until fluffy."", ""Now add your flour mixture, and mix at low to medium speed until just combined (don't overmix or cake will turn out rubbery)."", 'In a small saucepan, on medium heat, add milk and butter and stir until butter is melted. Do not boil - you just want this mixture to be very warm.', 'Add milk and butter mixture to batter, also add vanilla extract and mix until combined.', 'Pour into baking dish and bake for about 20-25 minutes, or until a toothpick comes out clean.', 'Serve warm with macerated strawberries spooned on top and fresh whipped cream.', ""Cook's Note: For a little variety, try adding different flavored extracts, like lemon."", 'For macerated strawberries: Hull strawberries, cut in half, and place in bowl. Sprinkle sugar and lemon juice on top and mix together. Place plastic wrap over bowl and place bowl in refrigerator for about 4 hours (until strawberries are very soft).']",tastykitchen.com/recipes/desserts/hot-milk-sponge-cake-2/,Gathered,"['CAKE', 'All-purpose', 'Baking Powder', 'Eggs', 'Sugar', 'Milk', 'Butter', 'Vanilla', 'It', '_____', 'Fresh Strawberries', 'Sugar', 'Lemon Juice']"
2197793,"Roast Loin of Pork, With Prunes","['1 pound dried pitted prunes', '1/2 cup dry red wine', '5 pounds loin roast', '2 cloves garlic', '1 tablespoon dried rosemary or 2 tablespoons fresh', 'Coarse salt and freshly ground pepper', '2 tablespoons fresh parsley, chopped']","['Soak the prunes for one hour in the wine.', 'Preheat oven to 375 degrees.', 'Between each rib of pork make incisions big enough to hold two prunes, but not cutting right through the meat.', 'Slice the garlic and place a slice in each incision.', 'Add a pinch of rosemary and pepper.', 'Place the loin fat side up on a roasting rack in a baking pan.', 'Roast for 2 hours, or until the meat is cooked, basting frequently.', 'Be careful not to overcook or the pork will become dry.', 'Put the roast on a heated serving dish and keep warm.', 'Meanwhile, pour off as much fat as you can from the cooking juices.', 'Place the roasting pan over high heat.', 'Add the wine and scrape up the cooking juices.', 'Season with salt and pepper and pour into a heated sauce boat.', 'Garnish with chopped parsley.', 'Pass the sauce separately.']",cooking.nytimes.com/recipes/912,Recipes1M,"['prunes', 'red wine', 'loin roast', 'garlic', 'rosemary', 'salt', 'fresh parsley']"
1089823,Chocolate Pomegranate Seeds,"['2 large pomegranates', '1 (12 ounce) bag semi-sweet chocolate chips', 'wax paper']","['Refrigerate the pomegranates (not required, but it helps).', 'Remove all the seeds and place them in a colander.', 'Gently rinse the seeds, then lay them out on paper towels to let them dry.', 'Lay out a large sheet of wax paper on a a cookie sheet which will fit inside your refrigerator.', ""Melting the chocolate the easy way: put the chocolate chips in a glass container (I'd use my big 4-cup Pyrex measuring thingy) and microwave them until they're melted, stirring occasionally; don't overdo it, though- you don't want the chocolate to burn or get tough."", ""Melting the chocolate another way: in a double boiler, melt the chocolate chips (if you don't have a double boiler a metal or oven-safe glass dish over boiling water works too); stir constantly while melting so you don't scorch the chocolate."", 'Add the pomegranate seeds to the melted chocolate (making sure the seeds are not wet on the surface, or else the chocolate can seize) and fold gently with rubber spatula until the seeds are thoroughly covered, then spoon out globs of the mixture, whatever size you like, on to the wax paper.', 'Place the wax papered cookie sheet in the refrigerator and let the chocolate-covered seeds cool overnight (or for as long as you can stand before tasting them).', ""Keep refrigerated- they should keep for 3-4 days, at least, although I doubt they'll last that long once you taste them."", 'Enjoy!']",www.food.com/recipe/chocolate-pomegranate-seeds-45549,Gathered,"['pomegranates', 'semi-sweet chocolate chips', 'wax paper']"
705416,Easy Mexican Dip,"['1 (8 oz.) pkg. cream cheese', '1 can chili without beans']","['Place cream cheese and chili in a microwave-safe dish. Microwave on High until cream cheese has softened.', 'Mix until completely blended.', 'Continue to microwave until hot.', 'Serve with Mexican chips.']",www.cookbooks.com/Recipe-Details.aspx?id=234655,Gathered,"['cream cheese', 'beans']"
1599906,Noodles And Veggies With Peanut Sauce,"['1 pound noodles Spaghetti', '1/2 cup peanuts', '2 garlic cloves', '2 tablespoons soy sauce or tamari', '4 teaspoons distilled white vinegar', '1 tablespoon sugar', '1/8 teaspoon cayenne pepper', '1/2 cup water', '2 carrots mediums, julienned', '1/2 pound snowpeas sliced', '1/4 cup roasted sesame oil', '2 green onions chopped', '1 cucumber peeled, seeded, and julienned']","['Cook spaghetti according to the package directions. Rinse the spaghetti with cold water and drain thoroughly. Pour into a large mixing bowl. Toss with the sesame oil.', 'In a blender or food processor, combine the peanuts, garlic, soy sauce, vinegar, sugar, cayenne pepper, and water. Blend until smooth and set aside.', 'Steam the carrots and the snow peas until tender-crisp, about 7 minutes, and set aside.', 'Add the peanut sauce, carrots, and snowpeas to the bowl of spaghetti and toss.', 'Just before serving, top with the green onions and cucumber.']",www.yummly.com/recipe/Noodles-and-Veggies-With-Peanut-Sauce-1668091,Gathered,"['noodles', 'peanuts', 'garlic', 'soy sauce', 'white vinegar', 'sugar', 'cayenne pepper', 'water', 'carrots', 'snowpeas', 'sesame oil', 'green onions', 'cucumber']"
